OCCUPATION,ENTRY-LEVEL EDUCATION ,ON-THE-JOB TRAINING ,PROJECTED NUMBER OF NEW JOBS ,PROJECTED GROWTH RATE ,2021 MEDIAN PAY 
"Substance abuse, behavioral disorder, and mental health counselors",Bachelor’s degree,None,"50,000 or more",Much faster than average,"$40,000 to $59,999"
"Substitute teachers, short-term",Bachelor’s degree,None,"50,000 or more",Faster than average,"$30,000 to $39,999"
Subway and streetcar operators,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$80,000 or more"
"Surgeons, except ophthalmologists",Doctoral or professional degree,Internship/residency,Declining,Decline,"$80,000 or more"
Surgical technologists,Postsecondary nondegree award,None,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
Survey researchers,Master’s degree,None,0 to 999,Slower than average,"$40,000 to $59,999"
Surveying and mapping technicians,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
Surveyors,Bachelor’s degree,Internship/residency,0 to 999,Slower than average,"$60,000 to $79,999"
"Switchboard operators, including answering service",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Tailors, dressmakers, and custom sewers",No formal educational credential,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Tank car, truck, and ship loaders",No formal educational credential,Short-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
Tapers,No formal educational credential,Moderate-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
"Tax examiners and collectors, and revenue agents",Bachelor’s degree,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Tax preparers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
"Teaching assistants, except postsecondary","Some college, no degree",None,"50,000 or more",As fast as average,"Less than $30,000"
"Teaching assistants, postsecondary",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
Technical writers,Bachelor’s degree,Short-term on-the-job training,"5,000 to 9,999",Faster than average,"$60,000 to $79,999"
"Telecommunications equipment installers and repairers, except line installers",Postsecondary nondegree award,Moderate-term on-the-job training,Declining,Little or no change,"$60,000 to $79,999"
Telecommunications line installers and repairers,High school diploma or equivalent,Long-term on-the-job training,Declining,Little or no change,"$60,000 to $79,999"
Telemarketers,No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
Telephone operators,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Tellers,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Terrazzo workers and finishers,High school diploma or equivalent,Apprenticeship,Declining,Decline,"$40,000 to $59,999"
Textile bleaching and dyeing machine operators and tenders,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
"Textile cutting machine setters, operators, and tenders",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"Less than $30,000"
"Textile knitting and weaving machine setters, operators, and tenders",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Textile, apparel, and furnishings workers, all other",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
"Therapists, all other",Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
Tile and stone setters,No formal educational credential,Long-term on-the-job training,"5,000 to 9,999",Faster than average,"$40,000 to $59,999"
Timing device assemblers and adjusters,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Tire builders,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$40,000 to $59,999"
Tire repairers and changers,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"Less than $30,000"
"Title examiners, abstractors, and searchers",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
Tool and die makers,Postsecondary nondegree award,Long-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
"Tool grinders, filers, and sharpeners",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Tour and travel guides,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
Traffic technicians,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
Training and development managers,Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
Training and development specialists,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
Transit and railroad police,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$60,000 to $79,999"
Transportation inspectors,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
Transportation security screeners,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
"Transportation, storage, and distribution managers",High school diploma or equivalent,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
Travel agents,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
Tree trimmers and pruners,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Tutors and teachers and instructors, all other",Bachelor’s degree,None,"50,000 or more",Much faster than average,"$40,000 to $59,999"
"Umpires, referees, and other sports officials",High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,"$30,000 to $39,999"
"Underground mining machine operators and extraction workers, all other",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Upholsterers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
Urban and regional planners,Master’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"Ushers, lobby attendants, and ticket takers",No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
Veterinarians,Doctoral or professional degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
Veterinary assistants and laboratory animal caretakers,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"Less than $30,000"
Veterinary technologists and technicians,Associate’s degree,None,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
Waiters and waitresses,No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
Watch and clock repairers,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Water and wastewater treatment plant and system operators,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Web developers and digital interface designers,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,The annual wage is not available.
"Weighers, measurers, checkers, and samplers, recordkeeping",High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",Faster than average,"$30,000 to $39,999"
"Welders, cutters, solderers, and brazers",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
"Welding, soldering, and brazing machine setters, operators, and tenders",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$30,000 to $39,999"
Wellhead pumpers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Wind turbine service technicians,Postsecondary nondegree award,Long-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"Woodworkers, all other",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$30,000 to $39,999"
"Woodworking machine setters, operators, and tenders, except sawing",High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
Word processors and typists,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Writers and authors,Bachelor’s degree,Long-term on-the-job training,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
Zoologists and wildlife biologists,Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
